category,district,total_price,land_area_aana,build_up_area,floors,facing,road_width_feet,bedrooms,bathrooms,parking_cars,parking_bikes,house_age,is_under_construction,amenity_count,has_modular_kitchen,has_parquet,has_drainage,has_solar,has_parking,has_garden,is_wide_road,is_area_estimated,luxury_score,price_segment,is_incomplete_listing,log_land,log_build_up,neighborhood_encoded
0,1,31500000.0,4.0,2395.75,2.5,0,14.0,6.0,5.0,2.0,4.0,2.0,0,11,0,1,1,0,1,0,0,1,3,2,0,1.6094379124341003,7.781868931957106,17.54424066286305
0,2,27500000.0,4.0,2395.75,2.5,1,13.0,7.0,4.0,1.0,2.0,9.0,0,11,0,1,1,0,1,0,0,1,3,2,0,1.6094379124341003,7.781868931957106,16.948365884387538
0,2,23500000.0,3.0,2515.54,3.5,0,13.0,6.0,4.0,0.0,2.0,8.0,0,11,0,1,1,0,1,0,0,1,3,1,0,1.3862943611198906,7.830640221182479,17.136122222322758
0,2,29000000.0,5.2,3114.47,2.5,2,20.0,6.0,4.0,1.0,2.0,8.0,0,11,0,1,1,0,1,1,0,1,4,2,0,1.824549292051046,8.044135302664925,17.21415087404628
0,2,25500000.0,3.0,2156.17,3.0,1,13.0,6.0,5.0,1.0,2.0,8.0,0,11,0,1,1,0,1,0,0,1,3,2,0,1.3862943611198906,7.676552456449997,16.948365884387538
0,2,32500000.0,4.0,2395.75,2.5,1,20.0,3.0,4.0,1.0,2.0,6.0,0,11,0,1,1,0,1,0,0,1,3,3,0,1.6094379124341003,7.781868931957106,17.136122222322758
0,2,27000000.0,3.3,2767.09,3.5,0,13.0,5.0,4.0,1.0,2.0,6.0,0,11,0,1,1,0,1,0,0,1,3,2,0,1.4586150226995167,7.925912830659844,17.136122222322758
0,2,24500000.0,3.1,1856.71,2.5,7,13.0,4.0,4.0,1.0,2.0,9.0,0,11,0,1,1,0,1,0,0,1,3,1,0,1.410986973710262,7.527099825383354,17.136122222322758
0,2,29500000.0,4.2,2515.54,2.5,1,13.0,5.0,5.0,1.0,2.0,9.0,0,11,0,1,1,0,1,0,0,1,3,2,0,1.6486586255873816,7.830640221182479,17.136122222322758
0,1,25000000.0,4.0,1027.0,2.5,2,12.0,5.0,3.0,1.0,1.0,2.0,0,11,1,0,1,0,1,0,0,0,3,1,0,1.6094379124341003,6.93537044601511,17.141942108769978
0,2,45000000.0,6.0,3593.62,2.5,4,13.0,6.0,3.0,2.0,8.0,8.0,0,11,0,1,1,0,1,0,0,1,3,3,0,1.9459101490553132,8.187193562203863,17.46230875890418
0,2,24000000.0,2.3,1653.07,3.0,0,13.0,4.0,4.0,0.0,1.0,9.0,0,11,0,1,1,0,1,0,0,1,3,1,0,1.1939224684724346,7.4109941963326,17.136122222322758
