district,road_type,land_size_aana,price_per_aana,is_large_plot,road_width_feet,is_wide_road,facing,source,log_land,neighborhood_encoded
1,3,7.0,2000000.0,0,13.0,0,7,0,2.0794415416798357,14.854775753972746
1,0,6.5,5000000.0,0,13.0,0,7,0,2.0149030205422647,15.371640665662257
1,2,16.0,2900000.0,0,13.0,0,7,0,2.833213344056216,14.771437151480784
1,2,5.0,3500000.0,0,13.0,0,7,0,1.791759469228055,14.771437151480784
1,0,6.75,1000000.0,0,13.0,0,7,0,2.0476928433652555,14.076963152141449
1,0,8.5,3500000.0,0,13.0,0,7,0,2.2512917986064953,15.283007903045162
2,3,3.5,6800000.0,0,13.0,0,7,0,1.5040773967762742,16.019235240573924
2,3,5.0,6800000.0,0,13.0,0,7,0,1.791759469228055,16.019235240573924
1,0,28.0,8500000.0,0,13.0,0,7,0,3.367295829986474,15.928237604112136
1,1,6.5,2500000.0,0,13.0,0,7,0,2.0149030205422647,15.28609246171445
1,2,7.0,5000000.0,0,13.0,0,7,0,2.0794415416798357,15.371640665662257
2,3,3.5,6500000.0,0,13.0,0,7,0,1.5040773967762742,15.797351059185896
2,2,9.0,4800000.0,0,13.0,0,7,0,2.302585092994046,14.979781014302722
2,1,14.0,6800000.0,0,13.0,0,7,0,2.70805020110221,15.797351059185896
2,0,6.0,2700000.0,0,13.0,0,7,0,1.9459101490553132,14.871275810783608
1,1,10.0,1300000.0,0,13.0,0,7,0,2.3978952727983707,15.315970225277846
1,2,6.0,600000.0,0,13.0,0,7,0,1.9459101490553132,15.169167886528076
0,0,5.75,4150000.0,0,13.0,0,7,0,1.9095425048844386,14.93902976140785
1,3,50.0,3000000.0,1,13.0,0,7,0,3.9318256327243257,14.871275810783608
1,3,3.0,2200000.0,0,13.0,0,7,0,1.3862943611198906,14.871275810783608
2,1,3.9375,2300000.0,0,13.0,0,7,0,1.5968591302272404,14.871275810783608
1,0,16.0,2600000.0,0,13.0,0,7,0,2.833213344056216,15.169167886528076
1,0,6.0,7600000.0,0,13.0,0,7,0,1.9459101490553132,15.797351059185896
1,2,5.0,1900000.0,0,13.0,0,7,0,1.791759469228055,14.904476029399897
1,1,4.0,4000000.0,0,13.0,0,7,0,1.6094379124341003,15.797351059185896
1,0,4.5,3050000.0,0,13.0,0,7,0,1.7047480922384253,15.245256633717792
1,2,5.0,2500000.0,0,13.0,0,7,0,1.791759469228055,15.001119624581587
2,2,6.0,5100000.0,0,13.0,0,7,0,1.9459101490553132,15.371640665662257
2,1,4.0,1350000.0,0,13.0,0,7,0,1.6094379124341003,14.437225574395764
2,2,8.0,8500000.0,0,13.0,0,7,0,2.1972245773362196,15.696265964460625
1,0,8.0,7000000.0,0,13.0,0,7,0,2.1972245773362196,15.797351059185896
1,3,11.0,800000.0,0,13.0,0,7,0,2.4849066497880004,14.076963152141449
1,1,18.0,2000000.0,0,13.0,0,7,0,2.9444389791664403,15.42422495288006
0,1,4.5,6000000.0,0,13.0,0,7,0,1.7047480922384253,15.797351059185896
1,2,4.0,6850000.0,0,13.0,0,7,0,1.6094379124341003,15.80310865142413
1,2,3.0,1800000.0,0,13.0,0,7,0,1.3862943611198906,15.169167886528076
1,3,4.0,3150000.0,0,13.0,0,7,0,1.6094379124341003,14.871275810783608
1,2,5.0,3800000.0,0,13.0,0,7,0,1.791759469228055,15.42422495288006
1,2,4.0,1800000.0,0,13.0,0,7,0,1.6094379124341003,14.970235115388723
2,0,7.0,1400000.0,0,13.0,0,7,0,2.0794415416798357,13.718117944699145
