district,property_type,property_face,road_type,municipality,ward_no,neighborhood,price_per_aana,land_size_aana,road_width_feet,facing_road_width,hospital_m,airport_m,pharmacy_m,bhatbhateni_m,school_m,public_transport_m,police_station_m,ring_road_m,ring_road_proximity,comm_road_premium,is_corner_plot
Kathmandu,Semi-commercial,South,High Access,Kathmandu,19,Premium_Zone,7000000.0,8.75,13.0,57.0,1000.0,8000.0,500.0,5000.0,100.0,200.0,1700.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Residential,North-East,High Access,Kathmandu,26,Samakhusi,7800000.0,6.0,13.0,12.0,1000.0,8000.0,500.0,5000.0,100.0,200.0,1700.0,500.0,0.1608594760130434,0.0,1
Kathmandu,Commercial,North,High Access,Budhanilkantha,1,Budhanilkantha,7000000.0,19.25,40.0,40.0,500.0,7000.0,200.0,800.0,200.0,50.0,100.0,50.0,0.25433477814404226,40.0,0
Kathmandu,Residential,North-West,Low Access,Budhanilkantha,2,Chapali,3700000.0,35.0,16.0,29.0,250.0,7000.0,250.0,5000.0,500.0,300.0,1700.0,8000.0,0.1112678527400893,0.0,1
Kathmandu,Residential,North-East,Low Access,Budhanilkantha,1,Budhanilkantha,3500000.0,5.0,20.0,34.0,5000.0,8000.0,3000.0,4000.0,2000.0,5000.0,5000.0,3000.0,0.12489538691450888,0.0,1
Kathmandu,Residential,North,Low Access,Kathmandu,4,Bansbari,5500000.0,11.93,13.0,65.0,400.0,6000.0,150.0,5000.0,500.0,400.0,1700.0,8000.0,0.1112678527400893,0.0,0
Kathmandu,Commercial,South-East,Low Access,Budhanilkantha,1,Chapali,4300000.0,4.0,15.0,29.0,5000.0,10000.0,150.0,5000.0,500.0,200.0,1700.0,8000.0,0.1112678527400893,15.0,1
Kathmandu,Residential,South-East,High Access,Kathmandu,32,High_Zone,6000000.0,9.0,13.0,70.0,300.0,4000.0,200.0,400.0,100.0,50.0,300.0,800.0,0.14956936854011055,0.0,1
Kathmandu,Residential,South,Low Access,Kathmandu,7,Chabahil,9000000.0,5.32,20.0,28.0,1000.0,3000.0,50.0,1000.0,50.0,50.0,100.0,500.0,0.1608594760130434,0.0,0
Kathmandu,Residential,South,Low Access,Kathmandu,3,Bansbari,7000000.0,6.0,13.0,27.0,500.0,7000.0,150.0,5000.0,500.0,200.0,1700.0,8000.0,0.1112678527400893,0.0,0
Kathmandu,Residential,South-East,High Access,Ichangu Narayan,7,Raniban,5200000.0,4.12,10.0,55.0,1000.0,8000.0,500.0,3000.0,100.0,50.0,1000.0,3000.0,0.12489538691450888,0.0,1
Kathmandu,Residential,East,Low Access,Kathmandu,6,Sanobharyang,6500000.0,10.0,20.0,55.0,1000.0,7000.0,100.0,3000.0,100.0,50.0,100.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Commercial,West,High Access,Budhanilkantha,7,Budhanilkantha,5800000.0,8.0,16.0,28.0,500.0,5000.0,200.0,1000.0,500.0,500.0,500.0,1000.0,0.1447438839476537,16.0,0
Kathmandu,Residential,South-West,Low Access,Shankarapur,7,Sankhu,2000000.0,3.25,20.0,28.0,1000.0,7000.0,500.0,4000.0,500.0,2000.0,500.0,4000.0,0.12056473085830295,0.0,1
Kathmandu,Residential,West,High Access,Budhanilkantha,1,Budhanilkantha,4200000.0,10.0,13.0,28.0,800.0,10000.0,100.0,6000.0,500.0,500.0,500.0,6000.0,0.11494673815138318,0.0,0
Kathmandu,Commercial,North-East,High Access,Kageshwori Manohara,6,Mulpani,5500000.0,19.5,26.0,50.0,1000.0,10000.0,500.0,7000.0,500.0,500.0,500.0,6000.0,0.11494673815138318,26.0,1
Kathmandu,Residential,West,High Access,Budhanilkantha,11,Kapan,3700000.0,4.0,13.0,29.0,2000.0,8000.0,100.0,5000.0,500.0,100.0,1700.0,8000.0,0.1112678527400893,0.0,0
Kathmandu,Residential,East,Low Access,Budhanilkantha,6,Pasikot,4600000.0,6.0,10.0,29.0,2000.0,8000.0,100.0,5000.0,500.0,200.0,1700.0,8000.0,0.1112678527400893,0.0,0
Kathmandu,Commercial,West,High Access,Kathmandu,2,Gairidhara,8500000.0,24.75,13.0,42.0,1000.0,8000.0,500.0,5000.0,100.0,200.0,1700.0,3000.0,0.12489538691450888,13.0,0
Kathmandu,Commercial,East,High Access,Lalitpur,11,Sankhamul,9000000.0,8.5,16.0,35.0,500.0,2000.0,100.0,1000.0,200.0,100.0,300.0,1000.0,0.1447438839476537,16.0,0
Kathmandu,Commercial,North-East,High Access,Kathmandu,15,High_Zone,6500000.0,27.5,18.0,55.0,1000.0,8000.0,500.0,5000.0,100.0,200.0,1700.0,3000.0,0.12489538691450888,18.0,1
Kathmandu,Residential,West,High Access,Kageshwori Manohara,5,Thali,3800000.0,4.75,13.0,30.0,1000.0,7000.0,500.0,8000.0,1000.0,500.0,500.0,8000.0,0.1112678527400893,0.0,0
Kathmandu,Residential,South,Low Access,Gokarneshwor,4,Gokarneshwor,1600000.0,6.5,13.0,40.0,1000.0,7000.0,500.0,4000.0,500.0,500.0,500.0,8000.0,0.1112678527400893,0.0,0
Kathmandu,Residential,North,Low Access,Budhanilkantha,11,Kapan,3600000.0,4.0,13.0,37.0,2000.0,6000.0,400.0,500.0,400.0,3000.0,1500.0,4000.0,0.12056473085830295,0.0,0
Kathmandu,Semi-commercial,North,High Access,Kathmandu,32,Koteshwor,6000000.0,12.5,10.0,58.0,200.0,700.0,100.0,300.0,200.0,100.0,100.0,200.0,0.18856166434639035,0.0,0
Kathmandu,Residential,North,Low Access,Budhanilkantha,6,Budhanilkantha,3700000.0,6.0,13.0,55.0,1000.0,5000.0,500.0,1000.0,200.0,300.0,1000.0,2000.0,0.13155467320159442,0.0,0
Kathmandu,Residential,East,High Access,Kathmandu,4,Dhumbarahi,7000000.0,10.0,9.0,55.0,1000.0,3000.0,500.0,1000.0,100.0,100.0,1700.0,4000.0,0.12056473085830295,0.0,0
